2463600;-
2464400;-
2466400;-
2475600;+
2481600;+
2489600;-
2491600;-
2510000;+
2516150;+
2530850;-
2548000;+
2553600;+
2558000;+
2579850;-
2581200;-
2583600;-
2607600;+
2621500;-
2638000;-
2639600;+
2642400;-
2648000;+
2658250;+
2658400;-
2680000;+
2700800;+
2704800;+
2732000;+
2740000;-
2757600;-
2785650;+
2795450;+
2830800;-
2832400;+
2842800;+
2857600;+
2866000;-
2898400;-
2920400;+
2932800;+
2939200;-
2940000;-
2948800;+
2951600;+
2952000;+
2954700;-
2963200;-
2968400;+
2973200;+
2974000;+
2974800;+
2984800;-
3005200;+
3009600;+
3010000;+
3010400;+
3017200;+
3027600;+
3030400;+
3050250;-
3055200;+
3094800;-
3108000;-
3112400;-
3117600;+
3126400;+
3135600;+
3148000;+
3149200;-
3150700;+
3164800;+
3172400;+
3196000;-
3198400;+
3200800;-
3203200;+
3233200;+
3234000;-
3283200;+
3290000;+
3295250;+
3312000;-
3318800;-
3324800;-
3338000;+
3344000;-
3345600;-
3350400;+
3373600;+
3376000;+
3378800;-
3392800;-
3393250;+
3396000;-
3402000;-
3402800;-
3410400;+
3432000;+
3434800;+
3450800;-
3452050;+
3458400;+
3460400;-
3482000;+
3485600;-
3491250;+
3503200;+
3535600;-
3537200;-
3549200;-
3550400;-
3554950;-
3559850;+
3564750;-
3565200;+
3646800;+
3663600;-
3676400;+
3716400;-
3728800;+
3748500;-
3764400;+
3766000;+
3773200;-
3788800;+
3798400;-
3807300;-
3819200;-
3837600;-
3853850;+
3857200;+
3861600;-
3862400;+
3863200;-
3891600;+
3902400;-
3902800;-
3912000;-
3926800;-
3939600;-
3940800;-
3944000;-
3959200;+
3959200;+
3995950;+
4011600;-
4012800;-
4018800;-
4037600;+
4048800;+
4049850;+
4052400;-
4072000;+
4081600;-
4087200;+
4103200;-
4106800;-
4110000;-
4113600;+
4123350;-
4189200;+
4196000;-
4209100;+
4250400;+
4250750;-
4251200;+
4262800;-
4266400;-
4266800;+
4276000;-
4280150;+
