2463600;-
2475200;+
2481200;+
2489600;-
2510000;+
2516000;-
2519200;-
2521050;+
2548000;-
2549600;+
2553600;+
2558000;-
2560800;-
2564400;+
2566400;-
2579850;-
2581200;-
2583600;-
2585600;-
2594000;-
2596800;-
2610000;+
2611600;-
2623200;-
2623950;+
2624000;-
2624400;+
2630000;-
2635200;+
2636800;+
2638000;-
2639600;+
2642400;-
2642800;+
2650400;+
2651600;+
2658250;+
2658400;-
2690100;-
2691200;-
2692400;-
2693600;-
2700800;+
2704800;+
2720000;-
2720800;+
2728000;-
2732000;+
2732800;+
2736650;-
2746400;-
2761150;+
2767200;+
2780750;-
2783600;+
2785650;+
2802000;+
2830800;-
2831200;-
2842800;+
2844450;+
2851600;+
2857600;+
2859200;-
2859600;-
2866400;-
2868800;+
2878750;-
2883650;+
2908150;-
2910600;+
2918000;-
2920400;+
2927600;-
2933200;+
2934800;+
2936000;+
2940000;-
2942400;-
2948000;-
2948800;+
2951600;+
2952000;+
2952400;-
2953600;-
2961600;+
2973200;+
2974400;+
2974800;+
2982800;+
2984800;-
2985600;+
2988000;+
2989600;+
2991200;-
2992800;-
2999200;+
3008800;+
3009600;+
3010000;+
3027600;+
3030400;+
3050250;-
3074750;-
3082000;+
3083600;-
3084550;+
3091200;-
3100800;+
3105600;+
3106600;-
3112400;-
3121600;-
3126400;+
3127600;-
3131200;-
3133200;-
3138000;-
3140000;-
3148000;+
3148250;-
3148400;-
3149200;-
3150700;+
3156400;-
3172400;+
3187200;+
3192350;+
3196000;-
3197600;+
3198400;+
3200800;-
3222800;+
3226400;+
3227600;+
3252400;-
3269600;-
3278000;-
3283200;+
3290000;+
3295250;+
3296400;+
3307200;-
3312000;-
3314400;-
3324000;-
3341800;+
3342000;+
3344000;-
3344800;+
3345600;-
3348000;+
3365600;-
3368800;-
3373600;+
3376000;+
3376100;-
3378800;-
3381600;-
3392800;-
3393200;-
3400400;+
3402400;+
3402800;-
3410400;+
3421200;-
3423600;+
3434000;-
3434400;+
3434800;+
3436000;+
3437600;-
3447200;+
3449200;-
3450800;-
3454500;-
3458800;+
3466750;-
3482000;+
3484000;-
3485600;-
3503200;+
3505950;-
3511200;+
3521600;+
3535350;-
3535600;-
3536000;-
3537200;-
3540250;-
3545200;-
3549200;-
3550400;-
3554950;-
3558800;+
3559850;+
3564750;-
3569200;+
3574400;+
3579450;+
3583600;+
3592800;-
3598400;-
3608400;+
3608800;+
3619200;+
3621600;-
3622800;-
3640700;-
3646800;+
3647200;+
3649200;+
3658000;-
3663600;-
3670800;-
3676400;+
3677600;+
3678000;+
3680400;+
3690400;+
3701600;-
3703600;+
3706400;+
3716400;-
3728800;+
3729600;+
3731350;+
3733200;+
3758800;-
3764400;+
3773000;-
3776000;+
3782400;-
3784000;+
3788800;+
3798400;-
3807300;-
3814000;-
3819200;-
3830000;-
3830400;-
3834800;+
3840000;+
3853850;+
3857200;+
3862400;+
3867200;+
3871000;+
3878000;-
3887200;-
3888000;+
3891600;+
3900400;-
3900400;-
3902400;-
3904400;+
3911600;+
3912000;-
3926800;-
3930000;+
3930400;-
3938000;-
3939600;-
3939600;-
3940800;-
3943600;-
3949400;-
3959200;+
3966000;-
3966800;-
3967200;-
3971450;+
3983700;-
3986000;-
3987200;-
3994000;+
4011600;-
4018800;-
4022000;-
4027200;+
4032400;+
4037600;+
4042000;+
4042400;+
4048800;+
4049850;+
4052400;-
4057600;-
4072000;+
4078400;-
4087200;+
4106800;-
4109200;+
4113600;+
4123350;-
4134000;-
4145600;+
4155200;+
4189500;-
4195600;+
4196000;-
4209100;+
4214000;-
4224800;+
4232400;-
4250400;+
4262000;-
4262800;-
4265600;+
4266400;-
4266800;+
4276000;-
4280150;+
4292000;+
4299200;-
4317600;-
4318400;+
